Applicant,LocationDescription,Address,Latitude,Longitude
Tacos El Primo,JENNINGS ST: WALLACE AVE to YOSEMITE AVE (2200 - 2299),1495 WALLACE AVE,37.7259304950399,-122.389215559421
Mora Taco Truck,POTRERO AVE: 16TH ST to 17TH ST (300 - 399),359 POTRERO AVE,37.7651475103788,-122.407140493701
Natan's Catering,,Assessors Block 5216/Lot030,37.7454064294164,-122.390081224847
Tacos El Primo,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,37.7678524427181,-122.416104892532
Bach Catering,SANSOME ST: HALLECK ST to SACRAMENTO ST (334 - 399),350 SANSOME ST,37.7937828768391,-122.401001311993
Natan's Catering,23RD ST: END to ILLINOIS ST (100 - 699),435 23RD ST,37.7550307267667,-122.384530734223
Bach Catering,EGBERT AVE: END to NEWHALL ST (1700 - 1798),1785 EGBERT AVE,37.7260861706723,-122.398332406177
Sun Rise Catering,HOWARD ST: LANGTON ST to RAUSCH ST (1122 - 1151),1130 HOWARD ST,37.7776555423955,-122.410401545178
Your Community Foods,03RD ST: QUESADA AVE to BAY VIEW ST \ REVERE AVE (5000 - 5098) -- WEST --,5048 03RD ST,37.7327944920286,-122.391768324832
Sun Rise Catering,NEW MONTGOMERY ST: NATOMA ST to HOWARD ST (158 - 199),180 NEW MONTGOMERY ST,37.7862510074437,-122.399520766943
Bach Catering,OAKDALE AVE: QUINT ST to RANKIN ST (1900 - 1999),1900 OAKDALE AVE,37.7383020209625,-122.396036145058
Sun Rise Catering,HOWARD ST: 09TH ST to WASHBURN ST (1300 - 1317),1300 HOWARD ST,37.7750297628802,-122.413686791248
Bomba,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),345 CALIFORNIA ST,37.7926023367923,-122.40043886495
Natan's Catering,07TH ST: HOOPER ST to IRWIN ST (1100 - 1199),1140 07TH ST,37.7682493867935,-122.398430650214
The Brooklyn Pig Inc.,BRYANT ST: RITCH ST to ZOE ST (515 - 544),544 BRYANT ST,37.7807066695518,-122.397014692415
Kiss Point,PHELAN AVE: GENEVA AVE \ OCEAN AVE to JUDSON AVE (1 - 199),50 PHELAN AVE,37.7257407538536,-122.449867611066
La Falafel,VALENCIA ST: 14TH ST to ROSA PARKS LN (300 - 337),337 VALENCIA ST,37.7674566391069,-122.421788343116
Sun Rise Catering,POTRERO AVE: 18TH ST to 19TH ST (600 - 698) -- WEST --,690 POTRERO AVE,37.760866951347,-122.407429830891
Teresa Hotdogs,CASTRO ST: 17TH ST \ MARKET ST to 18TH ST (400 - 499),444 CASTRO ST,37.7617489380071,-122.435401104403
Raspados El Yocateco,MISSION ST: 17TH ST to CLARION ALY (2100 - 2131),2100 MISSION ST,37.7632279025439,-122.419795019128
Sun Rise Catering,HOWARD ST: 11TH ST to LAFAYETTE ST (1500 - 1549),1523 HOWARD ST,37.7726358180055,-122.415726650735
Natan's Catering,POTRERO AVE: 10TH ST \ BRANNAN ST \ DIVISION ST to ALAMEDA ST (1 - 99),66 POTRERO AVE,37.7685432890242,-122.408492892439
"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",STOCKTON ST: OFARRELL ST to GEARY ST (100 - 199),101 STOCKTON ST,37.7868561118831,-122.406891892997
Bob Johnson,REVERE AVE: 03RD ST \ BAY VIEW ST to BRIDGEVIEW DR \ NEWHALL ST (1700 - 1799),1709 REVERE AVE,37.7325595789318,-122.392063194969
Natan's Catering,,Assessors Block 4046/Lot001,37.7620084580302,-122.385441811568
Natan's Catering,CONNECTICUT ST: 17TH ST to MARIPOSA ST (100 - 199),146 CONNECTICUT ST,37.7644472955619,-122.397987371508
Natan's Catering,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2045 EVANS AVE,37.7477720916075,-122.397031718978
Ziaurehman Amini,DRUMM ST: MARKET ST to CALIFORNIA ST (1 - 6),1 CALIFORNIA ST,37.7932137316634,-122.397043036718
Lobsta Truck,GRANT AVE: CAMPTON PL intersection,207 GRANT AVE,37.7889322436563,-122.405512652889
Natan's Catering,,Assessors Block 4058/Lot010,37.7611829945051,-122.388118704077
"Del Popolo, LLC.",MARKET ST: 10TH ST \ FELL ST \ POLK ST to SOUTH VAN NESS AVE \ VAN NESS AVE (1400 - 1498) -- NORTH --,1438 MARKET ST,37.7762350184712,-122.418435137885
Teresa Hotdogs,MARKET ST: 16TH ST \ NOE ST to 17TH ST \ CASTRO ST (2301 - 2399) -- SOUTH --,2367 MARKET ST,37.7628387070954,-122.434351868931
Sun Rise Catering,LANGTON ST: DECKER ALY to HARRISON ST (108 - 183),175 LANGTON ST,37.7755336414436,-122.407115289202
Sinthya's Hot Dogs,FOLSOM ST: RAUSCH ST to RODGERS ST (1148 - 1175),1155 FOLSOM ST,37.7756306307592,-122.408828372369
Bombay Blvd.,03RD ST: JESSIE ST to MISSION ST (68 - 99),86 03RD ST,37.7862060821039,-122.402532491346
French Creme Brulee,MARKET ST: 03RD ST \ KEARNY ST to GRANT AVE \ OFARRELL ST (700 - 748) -- NORTH --,720 MARKET ST,37.7875984155546,-122.404090439434
Bach Catering,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1485 YOSEMITE AVE,37.7252957217827,-122.389765731256
Sun Rise Catering,NATOMA ST: 07TH ST to 08TH ST (600 - 699),640 NATOMA ST,37.7777909291434,-122.411000005343
Natan's Catering,,1650 03RD ST,37.7691244121681,-122.391474911246
Cheese Gone Wild,VAN NESS AVE: CLAY ST to WASHINGTON ST (1801 - 1899) -- WEST --,1801 VAN NESS AVE,37.7923033830753,-122.423131922094
Natan's Catering,QUINT ST: ARTHUR AVE to CUSTER AVE (1 - 199),50 QUINT ST,37.7464705066471,-122.388990808654
Natan's Catering,,Assessors Block 5598/Lot031,37.740303872806,-122.406059743494
Athena SF Gyro,MARKET ST: 11TH ST intersection,10 SOUTH VAN NESS AVE,37.77425926306,-122.419485988398
Athena SF Gyro,MARKET ST: MAIN ST to BEALE ST \ DAVIS ST \ PINE ST (215 - 299) -- SOUTH --,245 MARKET ST,37.792363514411,-122.396434007976
Athena SF Gyro,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,37.7710219992437,-122.403546254184
Reecees Soulicious,BAY SHORE BLVD: END to OAKDALE AVE (185 - 299) -- EAST --,201 BAY SHORE BLVD,37.7453089086563,-122.403420059999
Reecees Soulicious,03RD ST: NEWCOMB AVE to OAKDALE AVE (4701 - 4799) -- EAST --,4705 03RD ST,37.7350042289514,-122.3901724697
Golden Gate Halal Food,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),251 GEARY ST,37.7871762917416,-122.407398075958
Golden Gate Halal Food,MARKET ST: GRANT AVE \ OFARRELL ST to 04TH ST \ ELLIS ST \ STOCKTON ST (750 - 798) -- NORTH --,768 MARKET ST,37.7864590368571,-122.405545707116
Golden Gate Halal Food,MARKET ST: POWELL ST to 05TH ST \ CYRIL MAGNIN ST (865 - 899) -- SOUTH --,865 MARKET ST,37.7839469079742,-122.407158344984
Doc's of the Bay,MISSION ST: 22ND ST to 23RD ST (2600 - 2699),2600 MISSION ST,37.7552723597518,-122.419092971602
